subid,tr.num,gaze_condition,correct,age,age_group,target_image,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
38,24,gaze,1,1933,5,bunny,0.4689999999999994,gaze,0.47,response,1,0.030000000000000027,cs,0.6
10,23,gaze,1,1373,3,chicken,0.46999999999999975,gaze,0.47,response,1,0.040000000000000036,cs,0.61
31,1,gaze,1,1976,5,bottle,0.46999999999999975,gaze,0.47,response,1,0.040000000000000036,cs,0.61
4,32,gaze,0,1804,4,chicken,0.46999999999999975,gaze,0.47,response,1,0.040000000000000036,cs,0.61
41,19,gaze,1,NA,4,bottle,0.46999999999999975,gaze,0.47,response,1,0.040000000000000036,cs,0.61
44,7,gaze,1,NA,4,bottle,0.46999999999999975,gaze,0.47,response,1,0.040000000000000036,cs,0.61
10,24,gaze,1,1373,3,cookie,0.47000000000000064,gaze,0.47,response,1,0.050000000000000044,cs,0.62
28,12,gaze,1,1086,2,cookie,0.47000000000000064,gaze,0.47,response,1,0.050000000000000044,cs,0.62
3,3,gaze,1,1914,5,cookie,0.47000000000000064,gaze,0.47,response,1,0.050000000000000044,cs,0.62
32,9,gaze,1,1751,4,juice,0.4710000000000001,gaze,0.47,response,1,0.06000000000000005,cs,0.63
34,27,gaze,1,2016,5,juice,0.4710000000000001,gaze,0.47,response,1,0.06000000000000005,cs,0.63
38,25,gaze,0,1933,5,juice,0.4710000000000001,gaze,0.47,response,1,0.06000000000000005,cs,0.63
42,3,gaze,1,NA,3,juice,0.4710000000000001,gaze,0.47,response,1,0.06000000000000005,cs,0.63
12,14,gaze,0,1406,3,ball,0.47299999999999986,gaze,0.47,response,1,0.050000000000000044,cs,0.62
17,8,gaze,1,1180,3,ball,0.47299999999999986,gaze,0.47,response,1,0.06000000000000005,cs,0.63
24,12,gaze,1,2149,5,shoe,0.47299999999999986,gaze,0.47,response,1,0.06000000000000005,cs,0.63
26,11,gaze,1,1789,4,shoe,0.47299999999999986,gaze,0.47,response,1,0.06000000000000005,cs,0.63
