t.rel.noun,gaze_condition,target_looking,age_code,ci_lower,ci_upper,mean
2.1,straight_ahead,center,children,0.4385246531849793,0.5467354113278027,0.4919677544677545
2.1,straight_ahead,distracter,adults,0.010160727752639518,0.04924608785822021,0.028421945701357466
2.1,straight_ahead,distracter,children,0.08635695825913217,0.14530467268239006,0.1158471962819789
2.1,straight_ahead,target,adults,0.6868698948110712,0.8629474538941451,0.7752741131417602
2.1,straight_ahead,target,children,0.34434232585047797,0.4417935295380948,0.39218504925026665
2.1333333333333333,gaze,NA,adults,NA,NA,NaN
2.1333333333333333,gaze,NA,children,NA,NA,NaN
2.1333333333333333,straight_ahead,NA,adults,NA,NA,NaN
2.1333333333333333,straight_ahead,NA,children,NA,NA,NaN
2.1666666666666665,gaze,NA,adults,NA,NA,NaN
2.1666666666666665,gaze,NA,children,NA,NA,NaN
2.1666666666666665,straight_ahead,NA,adults,NA,NA,NaN
2.1666666666666665,straight_ahead,NA,children,NA,NA,NaN
2.2,gaze,center,adults,0.1510659775273746,0.3534756175197351,0.24218991792521205
2.2,gaze,center,children,0.5361400533343469,0.6569828563646498,0.5966939763135415
2.2,gaze,distracter,adults,0,0.029223227752639518,0.012066365007541479
2.2,gaze,distracter,children,0.04086379125101952,0.0917911964243486,0.06320551429247082
2.2,gaze,target,adults,0.6501771910687352,0.8383967258231964,0.7457437170672465
2.2,gaze,target,children,0.27742646921315395,0.39699168283407416,0.34010050939398767
2.2,straight_ahead,center,adults,0.14132830404889232,0.31678429413723524,0.22451102818749877
2.2,straight_ahead,center,children,0.4634112701911615,0.5756654260594478,0.521555015033276
2.2,straight_ahead,distracter,adults,0.00471342383107089,0.03337642749407455,0.017248437836673132
2.2,straight_ahead,distracter,children,0.0765327878643096,0.1331409736097236,0.10406857635118505
2.2,straight_ahead,target,adults,0.6593988731856378,0.8461343742042271,0.7582405339758281
2.2,straight_ahead,target,children,0.31894022493207275,0.4292631998134716,0.37437640861553906
2.2333333333333334,gaze,NA,adults,NA,NA,NaN
2.2333333333333334,gaze,NA,children,NA,NA,NaN
2.2333333333333334,straight_ahead,NA,adults,NA,NA,NaN
2.2333333333333334,straight_ahead,NA,children,NA,NA,NaN
2.2666666666666666,gaze,NA,adults,NA,NA,NaN
2.2666666666666666,gaze,NA,children,NA,NA,NaN
2.2666666666666666,straight_ahead,NA,adults,NA,NA,NaN
2.2666666666666666,straight_ahead,NA,children,NA,NA,NaN
2.3,gaze,center,adults,0.15407400197841378,0.3365092168860551,0.23498290924761514
