time_ms_normalized,gaze_condition,trial_type,age_category,target_looking,m,n
1749,gaze,test,adults,distracter,0.025595238095238095,30
1749,gaze,test,adults,target,0.7755952380952381,30
1749,straight_ahead,exposure,children,center,0.3393363728470111,47
1749,straight_ahead,exposure,children,distracter,0.3466058763931104,47
1749,straight_ahead,exposure,children,target,0.3140577507598784,47
1749,straight_ahead,exposure,adults,center,0.13452380952380952,30
1749,straight_ahead,exposure,adults,distracter,0.1396031746031746,30
1749,straight_ahead,exposure,adults,target,0.7258730158730159,30
1749,straight_ahead,test,children,center,0.3659574468085106,47
1749,straight_ahead,test,children,distracter,0.27998986828774064,47
1749,straight_ahead,test,children,target,0.35405268490374875,47
1749,straight_ahead,test,adults,center,0.12766830870279144,29
1749,straight_ahead,test,adults,distracter,0.06855500821018062,29
1749,straight_ahead,test,adults,target,0.8037766830870279,29
1782,gaze,exposure,children,center,0.5582815734989648,46
1782,gaze,exposure,children,distracter,0.1832815734989648,46
1782,gaze,exposure,children,target,0.25843685300207037,46
1782,gaze,exposure,adults,center,0.28579638752052544,29
1782,gaze,exposure,adults,distracter,0.0451559934318555,29
1782,gaze,exposure,adults,target,0.669047619047619,29
1782,gaze,test,children,center,0.36394179894179896,45
1782,gaze,test,children,distracter,0.2451058201058201,45
1782,gaze,test,children,target,0.39095238095238094,45
1782,gaze,test,adults,center,0.2017857142857143,30
1782,gaze,test,adults,distracter,0.025,30
1782,gaze,test,adults,target,0.7732142857142857,30
1782,straight_ahead,exposure,children,center,0.3618287740628166,47
1782,straight_ahead,exposure,children,distracter,0.32365754812563324,47
1782,straight_ahead,exposure,children,target,0.31451367781155015,47
1782,straight_ahead,exposure,adults,center,0.14126984126984127,30
1782,straight_ahead,exposure,adults,distracter,0.1380952380952381,30
1782,straight_ahead,exposure,adults,target,0.7206349206349206,30
1782,straight_ahead,test,children,center,0.3708459979736575,47
1782,straight_ahead,test,children,distracter,0.27287234042553193,47
1782,straight_ahead,test,children,target,0.35628166160081054,47
1782,straight_ahead,test,adults,center,0.1386111111111111,30
1782,straight_ahead,test,adults,distracter,0.07738095238095238,30
1782,straight_ahead,test,adults,target,0.7840079365079365,30
1815,gaze,exposure,children,center,0.5598861283643892,46
1815,gaze,exposure,children,distracter,0.180175983436853,46
1815,gaze,exposure,children,target,0.25993788819875774,46
1815,gaze,exposure,adults,center,0.2762725779967159,29
1815,gaze,exposure,adults,distracter,0.04864532019704433,29
1815,gaze,exposure,adults,target,0.6750821018062397,29
1815,gaze,test,children,center,0.3638888888888889,45
1815,gaze,test,children,distracter,0.24936507936507937,45
1815,gaze,test,children,target,0.3867460317460317,45
1815,gaze,test,adults,center,0.19503968253968254,30
1815,gaze,test,adults,distracter,0.03333333333333333,30
1815,gaze,test,adults,target,0.7716269841269842,30
1815,straight_ahead,exposure,children,center,0.3587132725430598,47
1815,straight_ahead,exposure,children,distracter,0.33497973657548125,47
1815,straight_ahead,exposure,children,target,0.30630699088145896,47
1815,straight_ahead,exposure,adults,center,0.14404761904761904,30
1815,straight_ahead,exposure,adults,distracter,0.1365079365079365,30
1815,straight_ahead,exposure,adults,target,0.7194444444444444,30
1815,straight_ahead,test,children,center,0.3829533941236069,47
1815,straight_ahead,test,children,distracter,0.2723910840932117,47
1815,straight_ahead,test,children,target,0.3446555217831814,47
1815,straight_ahead,test,adults,center,0.13126984126984126,30
1815,straight_ahead,test,adults,distracter,0.07539682539682539,30
1815,straight_ahead,test,adults,target,0.7933333333333333,30
1848,gaze,exposure,children,center,0.5753105590062112,46
1848,gaze,exposure,children,distracter,0.17745859213250517,46
1848,gaze,exposure,children,target,0.24723084886128363,46
1848,gaze,exposure,adults,center,0.2684729064039409,29
1848,gaze,exposure,adults,distracter,0.0541871921182266,29
1848,gaze,exposure,adults,target,0.6773399014778325,29
1848,gaze,test,children,center,0.357962962962963,45
1848,gaze,test,children,distracter,0.25552910052910055,45
1848,gaze,test,children,target,0.3865079365079365,45
1848,gaze,test,adults,center,0.19067460317460316,30
1848,gaze,test,adults,distracter,0.02976190476190476,30
1848,gaze,test,adults,target,0.7795634920634921,30
1848,straight_ahead,exposure,children,center,0.36056231003039513,47
1848,straight_ahead,exposure,children,distracter,0.3190729483282675,47
1848,straight_ahead,exposure,children,target,0.3203647416413374,47
1848,straight_ahead,exposure,adults,center,0.15611111111111112,30
1848,straight_ahead,exposure,adults,distracter,0.11908730158730159,30
1848,straight_ahead,exposure,adults,target,0.7248015873015873,30
1848,straight_ahead,test,children,center,0.3757852077001013,47
1848,straight_ahead,test,children,distracter,0.2773809523809524,47
1848,straight_ahead,test,children,target,0.3468338399189463,47
1848,straight_ahead,test,adults,center,0.15678571428571428,30
1848,straight_ahead,test,adults,distracter,0.07242063492063491,30
1848,straight_ahead,test,adults,target,0.7707936507936508,30
1881,gaze,exposure,children,center,0.5752846790890269,46
1881,gaze,exposure,children,distracter,0.17787267080745342,46
1881,gaze,exposure,children,target,0.24684265010351966,46
1881,gaze,exposure,adults,center,0.24568965517241378,29
1881,gaze,exposure,adults,distracter,0.04926108374384237,29
1881,gaze,exposure,adults,target,0.7050492610837439,29
1881,gaze,test,children,center,0.35947089947089944,45
1881,gaze,test,children,distracter,0.25092592592592594,45
1881,gaze,test,children,target,0.3896031746031746,45
1881,gaze,test,adults,center,0.17579365079365078,30
1881,gaze,test,adults,distracter,0.025595238095238095,30
1881,gaze,test,adults,target,0.7986111111111112,30
1881,straight_ahead,exposure,children,center,0.3497213779128673,47
1881,straight_ahead,exposure,children,distracter,0.3443768996960486,47
1881,straight_ahead,exposure,children,target,0.3059017223910841,47
1881,straight_ahead,exposure,adults,center,0.1688888888888889,30
1881,straight_ahead,exposure,adults,distracter,0.11658730158730159,30
1881,straight_ahead,exposure,adults,target,0.7145238095238096,30
1881,straight_ahead,test,children,center,0.37786220871327253,47
1881,straight_ahead,test,children,distracter,0.2735309017223911,47
1881,straight_ahead,test,children,target,0.3486068895643364,47
1881,straight_ahead,test,adults,center,0.15607142857142856,30
1881,straight_ahead,test,adults,distracter,0.06984126984126984,30
1881,straight_ahead,test,adults,target,0.7740873015873015,30
1914,gaze,exposure,children,center,0.5884834368530021,46
1914,gaze,exposure,children,distracter,0.16296583850931676,46
1914,gaze,exposure,children,target,0.24855072463768116,46
1914,gaze,exposure,adults,center,0.2440886699507389,29
1914,gaze,exposure,adults,distracter,0.05069786535303777,29
1914,gaze,exposure,adults,target,0.7052134646962233,29
1914,gaze,test,children,center,0.3556613756613757,45
1914,gaze,test,children,distracter,0.24727513227513226,45
1914,gaze,test,children,target,0.39706349206349206,45
1914,gaze,test,adults,center,0.173015873015873,30
1914,gaze,test,adults,distracter,0.025595238095238095,30
1914,gaze,test,adults,target,0.8013888888888889,30
1914,straight_ahead,exposure,children,center,0.34202898550724636,46
1914,straight_ahead,exposure,children,distracter,0.34226190476190477,46
1914,straight_ahead,exposure,children,target,0.31570910973084887,46
1914,straight_ahead,exposure,adults,center,0.17797619047619048,30
1914,straight_ahead,exposure,adults,distracter,0.1113095238095238,30
1914,straight_ahead,exposure,adults,target,0.7107142857142857,30
1914,straight_ahead,test,children,center,0.37454407294832825,47
1914,straight_ahead,test,children,distracter,0.28343465045592703,47
1914,straight_ahead,test,children,target,0.34202127659574466,47
1914,straight_ahead,test,adults,center,0.18411330049261082,29
1914,straight_ahead,test,adults,distracter,0.07738095238095238,29
1914,straight_ahead,test,adults,target,0.7385057471264368,29
1947,gaze,exposure,children,center,0.5731625258799172,46
1947,gaze,exposure,children,distracter,0.16842650103519669,46
1947,gaze,exposure,children,target,0.25841097308488614,46
1947,gaze,exposure,adults,center,0.26436781609195403,29
1947,gaze,exposure,adults,distracter,0.05123152709359606,29
1947,gaze,exposure,adults,target,0.68440065681445,29
1947,gaze,test,children,center,0.3547089947089947,45
1947,gaze,test,children,distracter,0.24428571428571427,45
1947,gaze,test,children,target,0.401005291005291,45
1947,gaze,test,adults,center,0.17857142857142858,30
1947,gaze,test,adults,distracter,0.026785714285714284,30
1947,gaze,test,adults,target,0.7946428571428571,30
1947,straight_ahead,exposure,children,center,0.33095238095238094,47
1947,straight_ahead,exposure,children,distracter,0.3363728470111449,47
1947,straight_ahead,exposure,children,target,0.33267477203647416,47
1947,straight_ahead,exposure,adults,center,0.17876984126984127,30
1947,straight_ahead,exposure,adults,distracter,0.10694444444444444,30
1947,straight_ahead,exposure,adults,target,0.7142857142857143,30
1947,straight_ahead,test,children,center,0.36717325227963526,47
1947,straight_ahead,test,children,distracter,0.29336372847011144,47
1947,straight_ahead,test,children,target,0.3394630192502533,47
1947,straight_ahead,test,adults,center,0.16924603174603176,30
1947,straight_ahead,test,adults,distracter,0.07738095238095238,30
1947,straight_ahead,test,adults,target,0.7533730158730159,30
1980,gaze,exposure,children,center,0.5979813664596273,46
1980,gaze,exposure,children,distracter,0.1475414078674948,46
1980,gaze,exposure,children,target,0.25447722567287784,46
1980,gaze,exposure,adults,center,0.26174055829228243,29
1980,gaze,exposure,adults,distracter,0.055008210180623976,29
1980,gaze,exposure,adults,target,0.6832512315270935,29
1980,gaze,test,children,center,0.3602645502645503,45
1980,gaze,test,children,distracter,0.2512433862433862,45
1980,gaze,test,children,target,0.3884920634920635,45
1980,gaze,test,adults,center,0.1625,30
1980,gaze,test,adults,distracter,0.026785714285714284,30
1980,gaze,test,adults,target,0.8107142857142857,30
1980,straight_ahead,exposure,children,center,0.32373353596757853,47
1980,straight_ahead,exposure,children,distracter,0.3317629179331307,47
1980,straight_ahead,exposure,children,target,0.3445035460992908,47
1980,straight_ahead,exposure,adults,center,0.17595238095238094,30
1980,straight_ahead,exposure,adults,distracter,0.11162698412698413,30
1980,straight_ahead,exposure,adults,target,0.7124206349206349,30
1980,straight_ahead,test,children,center,0.3679584599797366,47
1980,straight_ahead,test,children,distracter,0.2857142857142857,47
1980,straight_ahead,test,children,target,0.3463272543059777,47
1980,straight_ahead,test,adults,center,0.1740079365079365,30
1980,straight_ahead,test,adults,distracter,0.0638095238095238,30
1980,straight_ahead,test,adults,target,0.7621825396825397,30
2013,gaze,exposure,children,center,0.5978260869565217,46
2013,gaze,exposure,children,distracter,0.1494047619047619,46
2013,gaze,exposure,children,target,0.25276915113871634,46
2013,gaze,exposure,adults,center,0.2597701149425287,29
2013,gaze,exposure,adults,distracter,0.05090311986863711,29
2013,gaze,exposure,adults,target,0.6893267651888342,29
2013,gaze,test,children,center,0.35568783068783066,45
2013,gaze,test,children,distracter,0.24724867724867725,45
2013,gaze,test,children,target,0.39706349206349206,45
2013,gaze,test,adults,center,0.1771825396825397,30
2013,gaze,test,adults,distracter,0.030357142857142857,30
2013,gaze,test,adults,target,0.7924603174603174,30
2013,straight_ahead,exposure,children,center,0.34105876393110435,47
