subid,trial_num_full,trial_num,trial_type,ss_looking_char,look,correct,count_looks,total_looks,prop_looking,m_correct,m_gaze_follow,num_shifts,rt,shift_start,shift_end,shift_correct,shift_type,condition
020916_02,1_exposure,1,exposure,face,NA,NA,0,91,0,0.59,0.59,4,0.633,left,right,TRUE,image_away,gaze
020916_02,1_exposure,1,exposure,left,right,FALSE,37,91,0.41,0.59,0.59,4,0.633,left,right,TRUE,image_away,gaze
020916_02,1_exposure,1,exposure,right,right,TRUE,54,91,0.59,0.59,0.59,4,0.633,left,right,TRUE,image_away,gaze
020916_02,1_test,1,test,face,NA,NA,0,117,0,0.79,0,3,2.933,right,left,FALSE,target_distracter,gaze
020916_02,1_test,1,test,left,straightahead,FALSE,24,117,0.21,0.79,0,3,2.933,right,left,FALSE,target_distracter,gaze
020916_02,1_test,1,test,right,straightahead,TRUE,93,117,0.79,0.79,0,3,2.933,right,left,FALSE,target_distracter,gaze
020916_02,10_exposure,10,exposure,face,NA,NA,0,66,0,0.36,0.36,2,0.5,left,right,TRUE,image_away,gaze
020916_02,10_exposure,10,exposure,left,right,FALSE,42,66,0.64,0.36,0.36,2,0.5,left,right,TRUE,image_away,gaze
020916_02,10_exposure,10,exposure,right,right,TRUE,24,66,0.36,0.36,0.36,2,0.5,left,right,TRUE,image_away,gaze
020916_02,10_test,10,test,face,NA,NA,0,51,0,1,0,0,NA,left,NA,NA,no_shift,gaze
020916_02,10_test,10,test,left,straightahead,TRUE,51,51,1,1,0,0,NA,left,NA,NA,no_shift,gaze
020916_02,10_test,10,test,right,NA,NA,0,51,0,1,0,0,NA,left,NA,NA,no_shift,gaze
020916_02,11_exposure,11,exposure,face,right,FALSE,7,58,0.12,0.88,0.12,3,0.433,left,right,FALSE,image_away,gaze
020916_02,11_exposure,11,exposure,left,right,TRUE,45,58,0.78,0.88,0.12,3,0.433,left,right,FALSE,image_away,gaze
020916_02,11_exposure,11,exposure,right,right,FALSE,6,58,0.1,0.88,0.12,3,0.433,left,right,FALSE,image_away,gaze
020916_02,11_test,11,test,face,NA,NA,0,99,0,0.91,0,2,1.833,left,right,FALSE,image_away,gaze
020916_02,11_test,11,test,left,straightahead,TRUE,90,99,0.91,0.91,0,2,1.833,left,right,FALSE,image_away,gaze
020916_02,11_test,11,test,right,straightahead,FALSE,9,99,0.09,0.91,0,2,1.833,left,right,FALSE,image_away,gaze
020916_02,12_exposure,12,exposure,face,right,FALSE,14,60,0.23,0.54,0.46,4,0.367,left,right,FALSE,image_away,gaze
